,processed_sentence,vader_scores,polarity_value
27,"i be about to pay for this app when i notice a bug . it do not effectively sync task and event from the google calendar . numerous issue , and you can not even mark those event as over . sorry , not go to subscribe to this . i have no idea why this app be so famous . it be quite bad , in my opinion .","{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.8442}",negative
28,bad application no task information on screen,"{'neg': 0.558, 'neu': 0.442, 'pos': 0.0, 'compound': -0.743}",negative
29,"i download this app to try for my task list but i see there be not many function , choice of sound , color label ... to make the task fun , dissapointe with the score i see on google play . the bad point be this app force i to pay for it without any awareness . i check my google play account before the trial end , i do not see any subscription plan from any.do , but after the trial , it charge i yearly plan for this app . bad way to trick people to pay for this app .","{'neg': 0.187, 'neu': 0.718, 'pos': 0.094, 'compound': -0.8573}",negative
30,"shameless app ever , waste money ! ! ! i have subscribe and have be charge for the whole year . though no feature of premium appear . can someone clarify the reason ? ? ? ?","{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.876}",negative
31,i be not provide email address or google or facebook account for a todo list,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
32,uninstalled it as soon as it start send i ad notification . why do any developer think this be acceptable ? disgusting .,"{'neg': 0.143, 'neu': 0.759, 'pos': 0.097, 'compound': -0.2732}",negative
33,i have subscribe and have be charge for the whole year . though no feature of premium appear . can someone clarify the reason ? ? ? ?,"{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.6072}",negative
34,have to pay premium if you want to put multiple reminder a day,"{'neg': 0.102, 'neu': 0.803, 'pos': 0.095, 'compound': -0.0258}",neutral
35,"i have try i instal this on two separate android device with no luck . i can not add my calendar . i put the widget on the home screen . it say i need to add my calendar and have a button to add they , but nothing happen when i tap the button .","{'neg': 0.034, 'neu': 0.966, 'pos': 0.0, 'compound': -0.1877}",negative
36,prayer ubde,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
37,such a useless and greedy app only want money as be chargeable after 7 day do you have shame i want to give you 0 star,"{'neg': 0.26, 'neu': 0.698, 'pos': 0.041, 'compound': -0.7845}",negative
38,yes i what,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.4019}",positive
39,waste,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4215}",negative
40,"really cumbersome , be not easy to use","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.3412}",negative
41,be charge for the year instead of monthly,"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.2023}",negative
42,"not free , can not delete account","{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4023}",negative
43,will not enable i to unsubscribe !,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
44,dindigul,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
45,late update delete all my task and list ! have to start all over and try to remember what my list item be . i 'll be look for a new app .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
46,feature for the free version be just disappointing .,"{'neg': 0.256, 'neu': 0.48, 'pos': 0.264, 'compound': 0.0258}",neutral
47,lock basic feature behind a paywall be kinda weird,"{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.1045}",negative
48,soo awkward i can not able to sign * up * 😭 sick app,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.7906}",negative
49,hang when set up google assistant,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
50,subscription ? ? how do this application figure that it can be a subscription application ? ridiculous update after developer response : this be not a subscription application . you be not netflix or adobe . this should be a standalone app quit try to milk people 's money . you can say anything you want . this will never be a subscription application . stop be ridiculous .,"{'neg': 0.143, 'neu': 0.837, 'pos': 0.02, 'compound': -0.8362}",negative
51,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",positive
52,"hopeless customer service . i pay for the premium version , have a problem with its sharing function , email customer support for a solution , be tell it would take 2 business day for a response ( which be hopeless enough ) , now over 5 business day later i 've not receive a response .","{'neg': 0.149, 'neu': 0.718, 'pos': 0.133, 'compound': -0.2263}",negative
53,duplicate file attach and you have to constantly delete . fix the bugs .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
54,use to work so well early . now it do not work at all ! ! junk ! !,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.6006}",positive
55,frustrating . apparently its mean to sync grocery list with google home but do not . absolutely no info on how to set it up,"{'neg': 0.079, 'neu': 0.813, 'pos': 0.108, 'compound': 0.1796}",positive
56,too complicated to use,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
57,force sign in,"{'neg': 0.6, 'neu': 0.4, 'pos': 0.0, 'compound': -0.4588}",negative
58,work on it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
59,"i should have look through "" most recent "" instead of "" most relevant "" review . it be far too limited for i in it be free state and i be not interested in pay for a subscription just to unlock what should be basic functionality in a to do list app .","{'neg': 0.084, 'neu': 0.849, 'pos': 0.067, 'compound': 0.0366}",neutral
60,do not for show or refund&refuse about my persional privacy .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
61,"it do not have sub list , e.g. "" child / school "" , "" child / health "" so you see too many list or too many task at once ( which be overwelme ) .","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
62,not usefull and even they charge some money :),"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.4588}",positive
63,this app be absolutely useless . because of this i miss an important event because the reminder alarm supposedly forget to rang . its pathetic and useless .,"{'neg': 0.406, 'neu': 0.543, 'pos': 0.051, 'compound': -0.908}",negative
64,be the app or web platform down today ? can not seem to login either .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
65,have to pay for daily reminder ... my phone do that free,"{'neg': 0.102, 'neu': 0.657, 'pos': 0.241, 'compound': 0.4404}",positive
66,the app be amazing - but the vibration ! so annoying ! ! pls let i turn they off .,"{'neg': 0.245, 'neu': 0.568, 'pos': 0.187, 'compound': -0.518}",negative
67,dipak day cox,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
68,very bad,"{'neg': 0.791, 'neu': 0.209, 'pos': 0.0, 'compound': -0.5849}",negative
69,location reminder do not work in medium power saving mode .. and all i get in reply be a copy paste solution and a trouble shoot link .,"{'neg': 0.173, 'neu': 0.748, 'pos': 0.078, 'compound': -0.4215}",negative
70,fed up with interruption in each matter i note . not worth the while have there be far too many condescend worker out inte cyber world who refuse to take no for an answer .,"{'neg': 0.227, 'neu': 0.743, 'pos': 0.029, 'compound': -0.7555}",negative
71,"really dissappointe in this app . be use it to schedule my customer appointment . as soon as the new version come out , i lose everything . go back to paper as at least my paper will not delete everything . a terrible app for business owner and scheduling appointment . absolutely horrible and i be very angry .","{'neg': 0.214, 'neu': 0.786, 'pos': 0.0, 'compound': -0.915}",negative
72,thank to your stupid update i lose all of my appointment date ... terrible garbage .,"{'neg': 0.406, 'neu': 0.461, 'pos': 0.134, 'compound': -0.7096}",negative
73,"i miss cal . the update destroy it , turn this into a cookie - cutter to - do app . it be a shame .","{'neg': 0.361, 'neu': 0.639, 'pos': 0.0, 'compound': -0.7845}",negative
74,be great but can not connect with other people since last update . invite will go out and will even receive the invitation but do not link and have have no luck with customer support,"{'neg': 0.082, 'neu': 0.714, 'pos': 0.204, 'compound': 0.5831}",positive
75,i be try for day to un subscribe . but of course that i be charge . absolutely no support . horrible and disgusting tactic,"{'neg': 0.309, 'neu': 0.52, 'pos': 0.171, 'compound': -0.6699}",negative
76,"update ruin app last update re - format the "" plan my day "" function so the ability to schedule task for that day or postpone into the future be unusable , so i have 50 + task and to way to arrange they into a comprehensive order . contact the developer who email i back after 4 day ask for a screenshot of the problem , so i send it right back . 3 day later - no response from the developer , no fix , nothing . update9/8 : no fix , move to acaltask +","{'neg': 0.128, 'neu': 0.804, 'pos': 0.068, 'compound': -0.6842}",negative
77,👎,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
78,"do not do weekly reminder correctly . i open a bug report , and be tell that it be a know bug . a reminder app that get reminder at the wrong time be a big ' no ' from i .","{'neg': 0.081, 'neu': 0.919, 'pos': 0.0, 'compound': -0.4767}",negative
79,"in app purchase significantly impact experience . £ 16 a year for feature such as recur task , you be have a laugh","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.5574}",positive
80,you need an account because they want to track your cookie for ad,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.0772}",positive
81,need to create an account to use it .,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2732}",positive
82,"be nothing free anymore ? ? . it look like a good app but as soon as you open it , it give the subscription rate 🤬 🤬 🤬 🤬 . i uninstalle immediately . do not bother . believe it or not , some people do not enjoy be nickle and dimed !","{'neg': 0.08, 'neu': 0.816, 'pos': 0.104, 'compound': -0.1756}",negative
83,very bad,"{'neg': 0.791, 'neu': 0.209, 'pos': 0.0, 'compound': -0.5849}",negative
84,pratz,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
85,i send an ivite to people and everyone get over 50 email for the one invite . what a joke of a an app .,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4215}",positive
86,i have to sync whatttt gtfohhhhhh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
87,bring back my money ! why your system steal my money from pende subscribe ? without confirmation and notification ! ! ! ! where s my money ? ? ?,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.7452}",negative
88,why be this so buggy now ? why be you no long really be attentive to quality control ? cant delete task on one try . can no long delete finished tasks without several attempts . all command be hesitant . all command require multiple attempts . i have email you 3 times with no response . please advise .,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.9272}",negative
89,hum hai al ghj,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
90,shabab,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
91,make simple thing extremely complicated,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
92,even after your response it do not change the fact that you be require to have an account to proceed . the reasoning that other do it be negligible . only way i would rate this app well be if you have an anonymous auto log in that can be convert to a full account on sign up or log in .,"{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.4404}",positive
93,the late update now not work fine at all . it be worsen day by day . the developer now appear to have a different intention that premium pay version be purchase by the user .,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.5562}",negative
94,just use your basic phone calendar,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
95,i want to cancel the subscription .,"{'neg': 0.274, 'neu': 0.548, 'pos': 0.178, 'compound': -0.1779}",negative
96,moneygrabber want you to pay premium to choose specific date .,"{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.1027}",negative
97,do not do much different than google task ( which be easy to use and be free ) . as a result i want a refund as i only realize this after my 7 day trial . refund be only give within 24 hour of their draw their fee . not sure that be legal for an automatic subscription after app trial .,"{'neg': 0.031, 'neu': 0.847, 'pos': 0.121, 'compound': 0.6846}",positive
98,"bekaar ... bagwas .. time waste ... useless .. and ask for payment , before use anyway","{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.6808}",negative
99,useless app ... set up 8 reminder during a course of 4 day and not once receive any notification ! waste of money .,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.7088}",negative
100,subscription ! ! !,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
101,"this app meet my need until this late update . dislike the new format to such a degree that it be a dealbreaker . now i have to start from scratch research app to find a replacement . i know , i use the free version so you do not care if i go but this be such a disappointment .","{'neg': 0.136, 'neu': 0.829, 'pos': 0.036, 'compound': -0.7224}",negative
102,it sync everything . terrible . you have to get the pro version in order to be able to do anything actually worth while ! ! !,"{'neg': 0.154, 'neu': 0.773, 'pos': 0.073, 'compound': -0.4724}",negative
103,i do not find usefulness,"{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.2235}",negative
104,"in the calendar of any.do , 1st of august be mark as bakr - id , but 22nd august be not mark as ganesha chaturthi ! be there a specific reason ? or be it conveniently forget ? developer , please do respond . because it depend on your response whether to buy it or not ?","{'neg': 0.046, 'neu': 0.88, 'pos': 0.074, 'compound': 0.3468}",positive
105,its a good app but the app keep crash when i allow this app to add to my calendar . after add it to calendar then yhis app do not open . keep crash,"{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.5106}",positive
106,"say free and simple be not tell people it be a 7 day free trial especially at google play store and people only know it be a 7 day free trial after they download it . so why will not google do anything about this app developer not mention their app have a trial period , which result in people download app for nothing . ps 95 % of the app be free , until the trial period finish .","{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.9419}",positive
107,"scam premium that bypass googleplay , on the mobile app you can only buy 1 year of premium while on the website a monthly payment be possible . people buy the monthly more often and the developer list it on its personal website only to bypass google fee , thus i need to link my card on their site too","{'neg': 0.062, 'neu': 0.938, 'pos': 0.0, 'compound': -0.5719}",negative
108,"this new layout be just awful . just ridiculously awful . i can not in any way fathom how this get a thumb up from anybody . bye bye any.do , i be off to download something that be not design by a nine year old .","{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.8126}",negative
109,you have to open an account with they . i will not be go there . would be nice to be give the choice .,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.4215}",positive
110,"there be no option to delete the account . if i do not find this app useful , you guyz will keep my datum ? this be against the policy and norm","{'neg': 0.071, 'neu': 0.836, 'pos': 0.093, 'compound': 0.1779}",positive
111,efvig,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
112,sorry way to complicated . and why would you think i want my information out on your server ? want to create a weekday event spend more time try to figure out how to do that than it take to write in a diary .,"{'neg': 0.03, 'neu': 0.892, 'pos': 0.078, 'compound': 0.2732}",positive
113,super,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",positive
114,work great for a few year and then the past couple of month it eat anything add to the list ! i can sit and watch thing drop off before my very eye !,"{'neg': 0.057, 'neu': 0.816, 'pos': 0.127, 'compound': 0.555}",positive
115,way over price for what it do . not worth it ! !,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.3071}",negative
116,delete application,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
117,laggy response to resolve item and error in recur reminder,"{'neg': 0.198, 'neu': 0.661, 'pos': 0.14, 'compound': -0.1779}",negative
118,nice app,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",positive
119,no new it be repeat app,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",negative
120,it stop work and i try to reinstall it but same problem,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.631}",negative
121,"automatically show the reminder snackbar when i open other app without i set it up , what kind of violation be this ? ? ? stop bug your user unsolicitedly . uninstalle","{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.7378}",negative
122,"i love this app , but i do have one major gripe - i want an option to buy premium once ( even at a high price ) and not as a monthly or yearly subscription . edit - very unhappy with developer response to pricing . i want to buy premium for this great product they make , but it be not a service . this be not netflix . you be go to turn potential buyer away with this pricing model","{'neg': 0.05, 'neu': 0.803, 'pos': 0.148, 'compound': 0.8005}",positive
123,atleast make a few feature available .. if the customer donot like the app at initial stage than how would he / she ever think about go premium,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.3612}",positive
124,"require a sign up for feature i have no interest in use , but can not opt out of .","{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.1877}",negative
125,do not sign up . app not even on my phone . this payment deduction will be report and i request you refund my money immediately .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
126,autofill on android 10 do not work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
127,"have charge twice but still not get premium version access ,","{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.1027}",negative
128,have have to make an account in order to use this app . there be no way around it .,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}",negative
129,"create an account be suppose to allow you , not force you . uninstalled without try it","{'neg': 0.0, 'neu': 0.729, 'pos': 0.271, 'compound': 0.5904}",positive
130,stop add groceries items like an ad,"{'neg': 0.227, 'neu': 0.515, 'pos': 0.258, 'compound': 0.0772}",positive
131,bakwas app,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
132,"i do not get task notification anymore ! ! ! this app have become useless . i have uninstalle and reinstall , turn on / allow notification in the setting yet nothing .","{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.5684}",negative
133,good improvement but still do not have nag or presisitent reminder . i miss a lot reminder accidentally,"{'neg': 0.255, 'neu': 0.475, 'pos': 0.27, 'compound': -0.1618}",negative
134,"useless , ring bell only one time , and not a good reminder","{'neg': 0.366, 'neu': 0.634, 'pos': 0.0, 'compound': -0.6377}",negative
135,have to pay to set a recur task be ridiculous and essentially make the app useless to anyone who do not want to pay so this essentially be not a free app .,"{'neg': 0.288, 'neu': 0.677, 'pos': 0.035, 'compound': -0.8089}",negative
136,there be some issue in payment .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
137,too complicated . i need a plan to plan task .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
138,everything it expect you to pay,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.1027}",negative
139,"this app be useless unless you make the monthly payment , in that case do exist other app free and only with the essential","{'neg': 0.103, 'neu': 0.775, 'pos': 0.122, 'compound': 0.128}",positive
140,too many feature lock behind premium .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
141,bad app,"{'neg': 0.804, 'neu': 0.196, 'pos': 0.0, 'compound': -0.6249}",negative
142,"i have the same recur task to do every day . i need a to - do - list reminder to buzz i when it be time . the problem with this app , be that those reminder time somehow start drift every day , give i different time the next day ! that be an annoying fail ! screw it , i be go elsewhere . if i find a well app , i 'll let you guy know . update : suggestion do not work , and i find an app , that do not drift . i have move on .","{'neg': 0.117, 'neu': 0.826, 'pos': 0.057, 'compound': -0.6792}",negative
143,"omg the ui be awful , seriously you have popup for premium every 2 second , there be no intuitive way see a normal calendar , you have to create an account even if you do not want to , the app be beautiful but show screen where it be impossible to understand what you have to do . it be a calendar , show a f ... calendar .","{'neg': 0.098, 'neu': 0.838, 'pos': 0.064, 'compound': -0.0157}",neutral
144,not good,"{'neg': 0.706, 'neu': 0.294, 'pos': 0.0, 'compound': -0.3412}",negative
145,"trash . yes , it have some nice nifty feature but it lack in complete necessity to actually plan your day . you can make a task , perfectly include subtask and then add a nice color to the task . but no yellow , because that be already the fixed color of the ' priority label ' . reminder be great , except you can only have one . if i want to have a reminder on wednesday 10am and a reminder on friday 6pm , i would need a different app . because this app only allow you to set 1 reminder . frustrating . 0/10","{'neg': 0.06, 'neu': 0.74, 'pos': 0.2, 'compound': 0.9387}",positive
146,"be it necessary to sign up account ? while make a new account it be show error "" oop try again later ""","{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.4019}",negative
147,i 've be use the app for a while and since last week it have be act weird . i do not receive reminder anymore and it be completely a waste of time to set reminder ! not very reliable right now,"{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.6212}",negative
148,"while it be nice program , i can justify pay for it in perpetuity . that be just insane .","{'neg': 0.146, 'neu': 0.703, 'pos': 0.151, 'compound': 0.0258}",neutral
149,have to pay for recurrent daily task .. which be the main purpose of that app .,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.1027}",negative
150,"list sharing sharing be not work . ux be straight from ios app , terrible","{'neg': 0.158, 'neu': 0.459, 'pos': 0.383, 'compound': 0.5267}",positive
151,"bad app i have ever use , it do not do anything .","{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.6249}",negative
152,raben nat s7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
153,first thing that happen upon opening be ask for payment . good job .,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}",positive
154,"i do not have much to say in regard to the app itself . it seem to function fine , but it be not the calendar app that i need . the reason i be give it 1 star be because i cancel my subscription and account within the seven day free trial and still got charge the yearly rate . the problem have be report to the company . i will keep this review update with any action from any . do . update : the gist of the problem be this . any.do make it very difficult to find out how to cancel the sub .","{'neg': 0.137, 'neu': 0.785, 'pos': 0.079, 'compound': -0.7607}",negative
155,"unable to register with an email . clicking""continue with email "" will just take you to a login page . complete waste of time . i search they first three page of google for a solution and find nothing . find no solution on their help section . i do not want to register with facebook or google . if you include a feature , make sure it actually work .","{'neg': 0.059, 'neu': 0.808, 'pos': 0.132, 'compound': 0.6111}",positive
156,"my backup be go , very important datum delete","{'neg': 0.0, 'neu': 0.77, 'pos': 0.23, 'compound': 0.2716}",positive
157,"any . forget ... have an instance of daily repeat event , that i have mark as complete today and somehow it do skip the next day and only proceed to the day after . kind of "" daily event with some day skip "" . so useless to i as can not be trust for notify about daily routine task . p.s. do not tell i i do not know how to setup a recur event ! !","{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.7753}",negative
158,"it work okay , but i do not consent to subscribe at $ 28 / year subscription . i think i purchase it until i see that it be renew for an additional $ 28 . it be definitely not worth that price . very angry and rip off . i got charge twice for something that i think i buy outright . i will never buy anything from they . ever","{'neg': 0.158, 'neu': 0.77, 'pos': 0.071, 'compound': -0.7259}",negative
